CO_CODE	DIST_CODE	SCH_CODE	TOTAL
11	5390	095	20.5
11	5390	115	19.1
11	5390	120	18.3
11	5390	135	21.5
11	5390	160	14.5
11	5390	176	13.5
11	5390	230	19.8
11	5390	260	21.2
11	5390	270	21.6
11	5390	280	14.5
13	0250	020	13.3
13	0250	025	28.1
13	0250	050	23.7
13	0250	055	21.6
13	0250	060	23.4
13	0250	070	20.4
13	0250	080	26.8
13	0250	090	24.9
13	0250	100	28.3
13	0410	020	18.3
13	0410	030	13.3
13	0410	050	17.7
13	0410	060	20.2
13	0410	080	18.5
13	0410	100	21.8
13	0410	110	20.9
13	0410	120	9.0
13	0410	130	21.2
13	0410	140	15.0
13	0410	150	16.4
13	0660	050	17.9
13	0660	060	18.9
13	0660	070	18.3
13	0660	080	19.4
13	0660	110	19.3
13	0660	120	20.2
13	0760	050	19.6
13	0760	058	17.9
13	0760	060	21.2
13	0760	090	21.8
13	1210	030	15.8
13	1210	035	23.2
13	1210	050	18.5
13	1210	060	18.1
13	1210	070	17.6
13	1210	080	18.3
13	1210	090	19.9
13	1210	093	21.0
13	1210	095	15.0
13	1210	100	18.0
13	1210	107	16.3
13	1210	110	18.0
13	1210	120	20.3
13	1210	130	20.0
13	1210	135	17.6
13	1210	140	20.2
13	1210	150	23.0
13	1210	170	22.9
13	1210	190	21.8
13	1210	210	12.0
13	1400	050	16.1
13	1465	005	17.2
13	1465	030	18.8
13	1750	050	20.1
13	1750	070	20.9
13	1750	075	23.7
13	1750	080	24.8
13	2330	050	18.1
13	2330	071	14.1
13	2330	080	16.0
13	2330	090	20.6
13	2330	100	20.2
13	2330	110	16.4
13	2330	120	18.9
13	2330	125	17.5
13	2330	131	31.2
13	2330	135	16.4
13	2330	136	19.8
13	2330	140	18.3
13	2730	050	22.9
13	2730	055	22.9
13	2730	060	21.6
13	2730	070	17.3
13	2730	080	21.3
13	2730	090	21.4
13	2730	100	22.2
13	2730	110	22.5
13	2730	118	22.1
13	3190	050	20.5
13	3190	060	18.4
13	3190	065	19.1
13	3190	070	20.3
13	3190	080	20.6
13	3190	100	16.1
13	3190	120	17.9
13	3310	050	17.6
13	3310	060	32.9
13	3310	100	22.4
13	3310	110	23.9
13	3310	116	18.3
13	3310	123	24.6
13	3310	127	18.9
13	3310	130	21.7
13	3310	140	21.6
13	3310	165	20.5
13	3310	170	23.5
13	3570	004	
13	3570	010	21.6
13	3570	020	16.0
13	3570	030	21.3
13	3570	040	20.5
13	3570	045	16.6
13	3570	050	18.3
13	3570	055	25.1
13	3570	056	19.4
13	3570	057	20.9
13	3570	070	14.5
13	3570	080	17.3
13	3570	087	20.2
13	3570	100	16.7
13	3570	170	17.8
13	3570	180	19.6
13	3570	200	23.3
13	3570	220	24.2
13	3570	225	15.9
13	3570	240	7.7
13	3570	250	13.7
13	3570	270	17.2
13	3570	280	16.1
13	3570	290	1.8
13	3570	300	13.2
13	3570	310	10.2
13	3570	315	13.7
13	3570	330	19.0
13	3570	335	11.3
13	3570	350	13.4
13	3570	353	8.4
13	3570	370	10.8
13	3570	380	11.8
13	3570	390	14.9
13	3570	400	13.2
13	3570	410	18.7
13	3570	415	17.3
13	3570	420	11.9
13	3570	430	16.1
13	3570	435	18.1
13	3570	440	16.2
13	3570	455	16.9
13	3570	460	19.3
13	3570	470	13.4
13	3570	477	6.7
13	3570	480	18.4
13	3570	490	14.0
13	3570	495	13.2
13	3570	500	14.9
13	3570	510	19.3
13	3570	517	16.8
13	3570	520	14.9
13	3570	530	14.0
13	3570	565	19.4
13	3570	570	19.5
13	3570	575	16.2
13	3570	580	12.8
13	3570	581	16.7
13	3570	590	21.6
13	3570	600	16.8
13	3570	605	17.5
13	3570	610	17.8
13	3570	615	17.8
13	3570	630	12.9
13	3570	640	16.3
13	3570	670	14.9
13	3570	690	16.1
13	3570	710	15.4
13	3570	715	11.5
13	3570	750	19.1
13	3630	050	18.7
13	3630	060	16.5
13	3750	050	17.3
13	3750	060	16.6
13	3750	070	15.5
13	3750	080	16.9
13	3750	090	18.4
13	3750	100	18.5
13	3750	110	19.7
13	3880	050	13.6
13	3880	060	15.5
13	3880	070	16.1
13	3880	080	19.3
13	3880	090	16.8
13	3880	100	16.5
13	3880	105	19.8
13	3880	110	14.7
13	3880	115	14.4
13	3880	120	16.5
13	4530	020	16.6
13	4900	030	19.4
13	4900	040	20.0
13	4900	050	19.1
13	4900	060	19.0
13	4900	090	18.7
13	4900	100	19.6
13	4900	130	18.4
13	4900	140	23.1
13	4900	150	22.0
13	5370	050	20.3
13	5370	070	19.3
13	5370	080	19.2
13	5370	090	18.8
13	5370	095	23.5
13	5370	100	17.8
13	5630	050	16.8
13	5630	070	21.0
13	5680	050	23.3
13	5680	070	16.6
13	5680	090	15.1
13	5680	120	19.4
13	5680	130	21.0
13	5680	135	20.6
13	5680	140	18.3
13	5680	150	21.9
13	5680	160	18.9
13	5680	170	20.8
13	5680	180	17.2
15	0860	030	17.8
15	0860	040	19.3
15	0860	045	16.0
15	0870	020	19.1
15	0870	030	20.1
15	1100	030	15.7
15	1100	040	14.5
15	1100	045	20.6
15	1100	090	20.4
15	1100	105	21.9
15	1100	110	5.5
15	1100	120	20.1
15	1100	130	14.2
15	1100	140	19.6
15	1180	020	19.2
15	1180	045	18.2
15	1330	010	16.2
15	1590	070	21.0
15	1590	080	17.9
15	1590	095	22.2
15	1715	050	14.4
15	1730	050	20.5
15	1730	065	19.7
15	1730	078	24.4
15	1730	080	15.8
15	1730	090	19.7
15	1774	015	6.4
15	1830	050	12.7
15	1830	060	18.5
15	2070	050	17.1
15	2070	080	20.6
15	2440	050	21.9
15	2440	060	19.4
15	2750	025	14.7
15	2750	040	18.0
15	2990	030	16.3
15	2990	040	24.9
15	2990	050	19.0
15	3280	050	21.0
15	3280	075	19.4
15	3280	090	21.0
15	3280	095	23.3
15	3280	100	20.4
15	3280	110	16.1
15	3490	050	18.0
15	4020	050	18.7
15	4020	060	24.9
15	4020	070	24.6
15	4140	050	12.9
15	4140	060	20.3
15	4140	065	17.3
15	4140	075	16.8
15	4140	080	16.9
15	4880	050	20.4
15	4940	050	21.3
15	4940	060	19.6
15	5120	050	19.7
15	5120	060	24.4
15	5120	070	21.1
15	5120	080	22.5
15	5500	010	18.4
15	5500	020	16.0
15	5500	025	23.3
15	5500	026	17.1
15	5500	027	23.1
15	5500	028	19.9
15	5500	030	20.5
15	5500	040	23.2
15	5500	050	15.8
15	5500	060	23.3
15	5500	070	24.6
15	5590	050	18.2
15	5620	050	24.0
15	5620	070	22.2
15	5620	100	20.2
15	5620	111	20.0
15	5620	130	21.9
15	5740	040	17.7
15	5860	050	16.1
15	5860	090	14.4
15	5860	100	16.7
15	5860	110	16.9
15	5870	050	16.8
17	0220	020	21.4
17	0220	030	22.7
17	0220	040	20.7
17	0220	050	24.1
17	0220	060	21.5
17	0220	070	18.4
17	0220	080	25.2
17	0220	085	23.8
17	0220	090	19.8
17	0220	120	20.6
17	0220	130	17.1
17	0220	140	22.2
17	1200	050	22.3
17	1850	050	20.9
17	2060	050	16.0
17	2060	060	21.9
17	2060	061	21.2
17	2060	070	19.0
17	2210	005	16.0
17	2210	050	13.8
17	2210	063	17.1
17	2210	065	15.0
17	2210	070	15.8
17	2390	002	23.0
17	2390	011	11.0
17	2390	050	22.1
17	2390	060	20.0
17	2390	070	22.6
17	2390	075	12.9
17	2390	080	21.2
17	2390	082	15.9
17	2390	095	20.7
17	2390	100	18.9
17	2390	105	20.6
17	2390	110	17.8
17	2390	120	17.6
17	2390	140	20.4
17	2390	150	20.9
17	2390	155	20.6
17	2390	160	19.9
17	2390	170	18.1
17	2390	190	39.9
17	2390	200	19.8
17	2390	210	20.2
17	2390	220	20.6
17	2390	230	20.8
17	2390	240	21.2
17	2390	250	21.5
17	2390	260	17.1
17	2390	265	
17	2390	270	24.0
17	2390	280	18.1
17	2390	300	21.0
17	2390	320	19.7
17	2390	330	17.9
17	2390	340	19.5
17	2390	345	17.1
17	2390	347	14.8
17	2390	350	24.0
17	2390	360	21.4
