CO_CODE	DIST_CODE	YEAR	TOTCOST
05	5490	1011	17455
05	5720	1011	13953
05	5720	1011	16053
05	5805	1011	16523
05	5805	1011	17455
05	5890	1011	17617
05	5890	1011	16053
07	0150	1011	16027
07	0150	1011	17455
07	0190	1011	15838
07	0190	1011	17455
07	0260	1011	12815
07	0260	1011	16053
07	0330	1011	12698
07	0330	1011	16053
07	0390	1011	16025
07	0390	1011	18671
07	0580	1011	13875
07	0580	1011	17455
07	0680	1011	22306
07	0680	1011	17455
07	0700	1011	19102
07	0700	1011	22023
07	0800	1011	15704
07	0800	1011	17455
07	0880	1011	17549
07	0880	1011	17455
07	0940	1011	17274
07	0940	1011	17455
07	1255	1011	15724
07	1255	1011	18671
07	1720	1011	18488
07	1720	1011	16053
07	1770	1011	22023
07	1770	1011	17455
07	1780	1011	13662
07	1780	1011	16053
07	1880	1011	16912
07	1880	1011	17455
07	1890	1011	14659
07	1890	1011	17455
07	1900	1011	14723
07	1900	1011	17455
07	2540	1011	13917
07	2540	1011	17455
07	2560	1011	21110
07	2560	1011	17455
07	2670	1011	18252
07	2670	1011	17455
07	2890	1011	16805
07	2890	1011	16053
07	3110	1011	16483
07	3110	1011	17455
07	3420	1011	15528
07	3420	1011	17455
07	3770	1011	15657
07	3770	1011	17455
07	4060	1011	16919
07	4060	1011	17455
07	4110	1011	19074
07	4110	1011	17455
07	4590	1011	14632
07	4590	1011	16053
07	4790	1011	13954
07	4790	1011	16053
07	5035	1011	16736
07	5035	1011	18671
07	5080	1011	14089
07	5080	1011	16053
07	5400	1011	16169
07	5400	1011	16053
07	5560	1011	14678
07	5560	1011	17455
07	5820	1011	18194
07	5820	1011	17455
07	5900	1011	16584
07	5900	1011	17455
09	0170	1011	39898
09	0170	1011	17455
09	0710	1011	22493
09	0710	1011	15528
09	0715	1011	61624
09	0715	1011	61117
09	0720	1011	24506
09	0720	1011	22023
09	1080	1011	18875
09	1080	1011	17455
09	2820	1011	19165
09	2820	1011	18237
09	2840	1011	14995
09	2840	1011	15528
09	3130	1011	15819
09	3130	1011	17455
09	3680	1011	24296
09	3680	1011	17455
09	3780	1011	20343
09	3780	1011	17455
09	4700	1011	24406
09	4700	1011	17455
09	5060	1011	24818
09	5060	1011	17455
09	5340	1011	15945
09	5340	1011	17455
09	5610	1011	26236
09	5610	1011	15528
09	5790	1011	26532
09	5790	1011	17455
09	5800	1011	23006
09	5800	1011	17455
09	5840	1011	20304
09	5840	1011	17455
11	0540	1011	16189
11	0540	1011	17455
11	0950	1011	15809
11	0950	1011	17455
11	0995	1011	13424
11	0995	1011	22023
11	0997	1011	19426
11	0997	1011	18671
11	1020	1011	14935
11	1020	1011	16053
11	1120	1011	18222
11	1120	1011	17455
11	1460	1011	15849
11	1460	1011	16053
11	1820	1011	17503
11	1820	1011	16053
11	2270	1011	15827
11	2270	1011	16053
11	2570	1011	16629
11	2570	1011	17455
11	3050	1011	15389
11	3050	1011	17455
11	3230	1011	17217
11	3230	1011	17455
11	5070	1011	14081
