CO_CODE	DIST_CODE	SCH_CODE	TOTDRP
25	0100	010	0.0
25	0100	888	1.6
25	1650	010	0.0
25	1650	050	0.0
25	1650	055	0.0
25	1650	060	0.0
25	1650	070	0.0
25	1650	080	0.0
25	1650	888	0.6
25	2105	050	0.0
25	2105	888	0.1
25	2120	050	0.0
25	2120	888	1.5
25	2230	020	0.0
25	2400	010	0.0
25	2400	888	3.3
25	2430	050	0.0
25	2770	050	0.0
25	2770	888	1.5
25	2930	050	0.0
25	2930	888	0.8
25	3040	050	0.0
25	3040	888	0.1
25	3160	050	0.0
25	3160	053	0.0
25	3160	888	0.1
25	3270	050	0.0
25	3270	888	0.5
25	3510	050	0.0
25	3510	888	2.7
25	3810	030	0.0
25	4365	050	0.0
25	4365	888	0.1
25	4580	050	0.0
25	4760	050	0.0
25	5310	050	0.0
25	5310	888	0.3
25	5420	050	0.0
25	5420	888	0.4
27	0450	020	0.0
27	0630	020	0.0
27	0630	888	1.6
27	0785	010	0.0
27	0785	888	0.1
27	1110	040	0.0
27	1110	888	1.1
27	1990	050	0.0
27	1990	070	0.0
27	1990	888	0.1
27	2380	020	0.0
27	2380	888	0.9
27	2460	050	0.0
27	2870	050	0.0
27	2870	888	0.3
27	3340	010	0.0
27	3340	888	0.7
27	3370	050	0.0
27	3370	060	0.0
27	3385	050	0.0
27	3385	888	0.3
27	3450	010	0.0
27	3450	888	1.0
27	3460	050	0.0
27	3950	050	0.0
27	3950	053	0.0
27	3950	888	0.0
27	4080	050	0.0
27	4330	050	0.0
27	4330	888	0.1
27	4560	050	0.0
27	4560	888	0.7
27	5660	030	0.0
27	5660	050	0.0
27	5660	888	0.1
29	0185	030	0.0
29	0185	888	1.7
29	0530	020	0.0
29	0530	025	0.0
29	0530	888	1.4
29	0770	030	0.0
29	0770	888	2.6
29	2360	020	0.0
29	2360	025	0.0
29	2360	888	1.1
29	2480	020	0.0
29	2480	888	2.4
29	2520	050	0.0
29	2520	888	2.7
29	2940	040	0.0
29	2940	888	0.1
29	4105	060	0.0
29	4105	888	9.2
29	4190	010	0.0
29	4190	888	0.5
29	4210	030	0.0
29	4210	888	1.5
29	4220	050	0.0
29	4950	050	0.0
29	4950	888	1.3
29	5190	030	0.0
29	5190	040	0.0
29	5190	050	0.0
29	5190	888	2.1
31	0900	030	0.0
31	0900	888	3.1
31	2100	050	0.0
31	2100	888	0.4
31	2510	050	0.0
31	2510	888	0.4
31	3970	050	0.0
31	3970	888	7.2
31	3980	010	0.0
31	3980	888	3.3
31	3990	050	0.0
31	3990	888	0.1
31	4010	001	0.0
31	4010	002	0.0
31	4010	003	0.0
31	4010	020	0.0
31	4010	025	0.0
31	4010	030	0.0
31	4010	035	0.0
31	4010	888	0.4
31	4230	050	0.0
31	5570	050	0.0
31	5570	055	0.0
31	5570	888	0.9
31	5650	040	0.0
31	5650	888	1.0
33	4070	050	0.0
33	4070	888	4.3
33	4075	050	0.0
33	4075	888	0.6
33	4150	040	0.0
33	4150	888	2.1
33	4630	050	0.0
33	4630	888	8.0
33	5910	050	0.0
33	5910	888	0.1
35	0350	050	0.0
35	0350	888	0.4
35	0490	020	0.0
35	0490	888	4.4
35	0555	005	0.0
35	0555	888	0.4
35	1610	050	0.0
35	1610	888	0.7
35	2170	030	0.0
35	2170	888	0.6
35	3000	050	0.0
35	3000	888	1.3
35	3320	030	0.0
35	3670	050	0.0
35	3670	888	0.8
35	4815	020	0.0
35	4815	888	0.4
35	4820	050	0.0
35	4820	888	0.8
35	5550	050	0.0
37	2165	030	0.0
37	2165	888	1.8
37	2240	030	0.0
37	2240	888	0.4
37	2465	050	0.0
37	2465	888	0.8
37	2615	050	0.0
37	2615	888	0.7
37	3590	050	0.0
37	3590	888	1.6
37	4960	050	0.0
37	4960	888	0.1
37	5360	020	0.0
